timestamp_s,elapsed_s,load_cell_voltage,load_cell_force,Sensor0_voltage,Sensor1_voltage,Sensor2_voltage
1779280282.0173142,7.152557373046875e-07,1.6993398497009053,1.6993398497009053,0.6928130685393405,4.317001126633674,1.7510621298562867
1779280282.1840973,0.16678380966186523,1.5873059262572156,1.5873059262572156,0.6317055617323781,4.266113165901739,1.7510621298562867
1779280282.1959226,0.17860913276672363,1.566936121994722,1.566936121994722,0.5807826393932416,4.154159652291479,1.771435760984808
1779280282.2058587,0.18854522705078125,1.566936121994722,1.566936121994722,0.49930596365062385,3.981140585802894,1.8733039166274423
1779280282.2188299,0.20151638984680176,1.566936121994722,1.566936121994722,0.428013872375832,3.85900948004625,1.995545703398605
1779280282.2676337,0.2503201961517334,1.6789700454384118,1.6789700454384118,0.19376842961580465,3.6554576371184986,2.2705897236337123
1779280282.317859,0.30054545402526855,1.8215586752758384,1.8215586752758384,-0.13213827335466988,4.021850954388444,2.7697436862826166
1779280282.3676682,0.3503546714782715,1.8113737731445951,1.8113737731445951,-0.24416870250076883,3.8691870721926342,2.8512382107967227
1779280282.4175215,0.4002079963684082,1.882668088063312,1.882668088063312,-0.41730663845383376,3.8793646643390254,3.1160954154675693
1779280282.4678614,0.4505479335784912,1.7808190667508654,1.7808190667508654,-0.42749122292165964,3.716523189996824,3.156842677724619
1779280282.5175583,0.5002448558807373,1.8215586752758384,1.8215586752758384,-0.40712205398600787,3.6351024528257234,3.1059085999033016
1779280282.567579,0.5502655506134033,1.964147305113265,1.964147305113265,-0.4580449763251444,3.828476703607084,3.3096449111885704
1779280282.617994,0.6006805896759033,2.116920837081935,2.116920837081935,-0.41730663845383376,3.9200750329245686,3.411513066831205
1779280282.6674142,0.6501007080078125,2.239139662656875,2.239139662656875,-0.4784141452607962,4.428954640243941,3.5541284847308887
1779280282.717733,0.7004194259643555,2.290064173313098,2.290064173313098,-0.3460145471790419,4.61215129887891,3.493007591345311
1779280282.767835,0.7505214214324951,2.3104339775755847,2.3104339775755847,-0.1830611956938064,4.744459996781945,3.370765804574148
1779280282.8180542,0.8007407188415527,2.2289547605256317,2.2289547605256317,-0.009923259740741486,4.785170365367495,3.146655862160358
1779280282.8678606,0.8505470752716064,2.320618879706828,2.320618879706828,0.153030091744494,4.897123878977755,2.8512382107967227
1779280282.917594,0.9002804756164551,2.473392411675505,2.473392411675505,0.37709095003669546,5.385648302004345,2.423391957097664
1779280282.9678016,0.9504880905151367,2.5345018244629713,2.5345018244629713,0.804843497685443,6.08790216010507,1.516765371878229
1779280283.0178113,1.000497817993164,2.4530226074130113,2.4530226074130113,0.9779814336385044,6.037014199373136,1.037985040357853
1779280283.0673525,1.0500390529632568,2.249324564788118,2.249324564788118,1.1613039540593988,5.7418640271279,0.6508860489158472
1779280283.1178904,1.1005768775939941,2.208584956263138,2.208584956263138,1.2325960453341906,5.528134592053771,0.5184574465804239
1779280283.1682622,1.1509487628936768,2.086366130688205,2.086366130688205,1.3344418900124637,5.232984419808535,0.4675233687591067
1779280283.2178202,1.2005066871643066,2.198400054131895,2.198400054131895,1.5992410861759723,5.1820964590766,0.32490795085941926
1779280283.2678833,1.2505698204040527,2.320618879706828,2.320618879706828,2.0575473872281975,5.426358670589895,0.1415452707026823
1779280283.3178256,1.3005120754241943,2.361358488231808,2.361358488231808,2.3630849212630167,5.059965353319949,0.13135845513841815
1779280283.3678715,1.3505580425262451,2.5141320202004778,2.5141320202004778,2.597330364023044,5.121030906198275,0.1721057173954712
1779280283.4178815,1.4005680084228516,2.412282998888031,2.412282998888031,2.8824987291222115,5.110853314051891,0.23322661078105256
1779280283.4678464,1.4505329132080078,2.249324564788118,2.249324564788118,2.5871457795552146,4.6833944439036195,0.4165892909377895
1779280283.5177014,1.5003879070281982,2.0965510328194483,2.0965510328194483,2.4852999348769487,4.5510857460005845,0.3656552131164723
1779280283.5675645,1.5502510070800781,2.0659963264257115,2.0659963264257115,2.6788070397656654,4.174514836584255,0.10079800844562925
1779280283.6175861,1.6002726554870605,2.239139662656875,2.239139662656875,3.14729792528572,4.215225205169805,-0.29648779856064067
1779280283.6676137,1.6503002643585205,2.004886913638245,2.004886913638245,3.4120971214492286,3.8081215193143088,-0.5104109254101701
1779280283.7178547,1.7005412578582764,1.9030378923257985,1.9030378923257985,3.2796975233674743,3.2687091355557847,-0.5613450032314873
1779280283.7679071,1.750593662261963,2.1372906413444284,2.1372906413444284,3.717634655484048,2.9735589633105484,-0.9891912569305461
1779280283.8178642,1.8005506992340088,2.045626522163225,2.045626522163225,4.226863878875413,2.688586383211703,-1.5902133752220813
1779280283.8678474,1.8505339622497559,1.8317435774070887,1.8317435774070887,3.992618436115386,2.006687709403753,-1.539279297400764
1779280283.917854,1.9005405902862549,2.1882151520006516,2.1882151520006516,4.379632645892819,1.6402943921338142,-1.8041365020716107
1779280283.967835,1.950521469116211,2.4937622159379913,2.4937622159379913,5.204583987786833,1.3247890355958027,-2.1912354935136165
1779280284.0175524,2.0002388954162598,2.1474755434756716,2.1474755434756716,5.39809109267555,0.8769749811547634,-1.967125551099823
1779280284.0678825,2.0505690574645996,2.208584956263138,2.208584956263138,5.10273814310856,0.6428903617878525,-1.6207738219148702
1779280284.1177764,2.1004629135131836,2.412282998888031,2.412282998888031,5.540675275225134,0.39862815027455767,-1.7226419775575046
1779280284.1677454,2.1504318714141846,2.0558114242944683,2.0558114242944683,5.601782782032096,0.26631945237152266,-1.5189056662722393
1779280284.2178407,2.2005271911621094,1.5160116113384987,1.5160116113384987,4.532401412910232,0.4495161110064956,-0.8465758390308586
1779280284.267827,2.2505135536193848,1.5160116113384987,1.5160116113384987,3.819480500162321,0.571647216763143,-0.357608691946222
1779280284.317882,2.3005685806274414,1.9335925987195353,1.9335925987195353,4.695354764395468,0.5004040717384299,-0.3372350608176937
