timestamp_s,elapsed_s,known_axial_force,Sensor0_voltage,Sensor1_voltage,Sensor2_voltage
1779279206.85267,4.76837158203125e-07,8.829,9.960784934262179,9.985919952171418,10.073690445859405
1779279207.009224,0.1565544605255127,8.829,9.99133868766566,9.945209583585868,10.114437708116462
1779279207.0216274,0.16895794868469238,8.829,9.99133868766566,9.904499215000317,10.124624523680723
1779279207.0315769,0.1789073944091797,8.829,10.00152327213349,9.894321622853933,10.134811339244983
1779279207.0531588,0.20048928260803223,8.829,10.00152327213349,9.945209583585868,10.083877261423673
1779279207.102984,0.25031447410583496,8.829,9.970969518730008,10.108051057928062,9.910701396831193
1779279207.1533082,0.30063867568969727,8.829,9.960784934262179,9.996097544317802,10.063503630295145
1779279207.2033114,0.35064196586608887,8.829,10.021892441069141,9.914676807146702,10.094064076987934
1779279207.2531178,0.4004483222961426,8.829,9.970969518730008,10.077518281488903,9.941261843523982
1779279207.3028195,0.4501500129699707,8.829,9.909862011923046,10.087695873635287,10.012569552473828
1779279207.3528814,0.5002119541168213,8.829,10.093184532343933,9.823078477829217,10.104250892552194
1779279207.402941,0.5502715110778809,8.829,9.940415765326527,10.077518281488903,9.9921959213453
1779279207.45288,0.600210428237915,8.829,9.930231180858698,10.118228650074453,9.941261843523982
1779279207.50352,0.6508505344390869,8.829,10.082999947876104,9.843433662121992,10.104250892552194
1779279207.5528395,0.7001700401306152,8.829,9.930231180858698,10.036807912903353,10.053316814730877
1779279207.6033154,0.7506458759307861,8.829,9.960784934262179,10.097873465781678,9.900514581266933
1779279207.6533024,0.8006329536437988,8.829,10.021892441069141,9.924854399293093,10.073690445859405
1779279207.7032897,0.8506202697753906,8.829,9.95060034979435,9.975742360025027,10.104250892552194
1779279207.753369,0.9006996154785156,8.829,9.98115410319783,10.108051057928062,9.900514581266933
1779279207.803238,0.950568437576294,8.829,9.98115410319783,9.985919952171418,10.043129999166617
1779279207.8533053,1.0006358623504639,8.829,10.00152327213349,9.904499215000317,10.124624523680723
1779279207.9032981,1.050628662109375,8.829,9.960784934262179,10.118228650074453,9.910701396831193
1779279207.9532022,1.1005327701568604,8.829,9.99133868766566,10.036807912903353,9.982009105781039
1779279208.0033166,1.1506471633911133,8.829,9.98115410319783,9.935031991439477,10.144998154809251
1779279208.053272,1.2006025314331055,8.829,10.052446194472623,9.985919952171418,9.96163547465251
1779279208.1027837,1.2501142024993896,8.829,9.909862011923046,10.128406242220837,9.95144865908825
1779279208.153202,1.300532579421997,8.829,9.99133868766566,9.935031991439477,10.104250892552194
1779279208.2032895,1.3506200313568115,8.829,10.062630778940452,9.924854399293093,10.012569552473828
1779279208.2532978,1.4006283283233643,8.829,9.848754505116077,10.199649387245547,9.96163547465251
1779279208.3032954,1.4506258964538574,8.829,10.093184532343933,9.863788846414767,10.053316814730877
1779279208.3530376,1.5003681182861328,8.829,10.00152327213349,9.955387175732252,10.083877261423673
1779279208.4032366,1.5505671501159668,8.829,9.869123674051735,10.158939018660003,9.95144865908825
1779279208.45309,1.6004204750061035,8.829,10.062630778940452,9.945209583585868,9.982009105781039
1779279208.502846,1.6501765251159668,8.829,9.970969518730008,9.935031991439477,10.124624523680723
1779279208.5533254,1.7006559371948242,8.829,9.95060034979435,10.077518281488903,9.971822290216771
1779279208.6032798,1.7506103515625,8.829,10.00152327213349,10.046985505049744,9.931075027959722
1779279208.6533868,1.8007173538208008,8.829,9.99133868766566,9.884144030707542,10.155184970373512
1779279208.7032378,1.8505682945251465,8.829,9.95060034979435,10.077518281488903,9.982009105781039
